flight_id,flight_number,aircraft_type,origin_airport,origin_city,origin_lat,origin_lon,destination_airport,destination_city,destination_lat,destination_lon,flight_date,seats_total,seats_sold,fare_avg,ingreso_vuelo,delay_minutes,delay_cause,status,is_cancelled
F700025,AC9116,Airbus A320,MAD,Madrid,40.4983,-3.5676,BER,Berlin,52.3667,13.5033,28/12/2024,180,120,135.52,16262.40,24,Trafico Aereo,Completado,False
F700026,AC7185,Airbus A320,MAD,Madrid,40.4983,-3.5676,MUC,Munich,48.3538,11.7861,2024-12-22,180,118,96.80,11422.40,0,Sin retraso,Completado,False
F700027,AC7780,Airbus A321,MAD,Madrid,40.4983,-3.5676,LIS,lisboa,38.7813,-9.1359,28/09/2024,220,144,110.79,15953.76,57,Tecnica,Completado,True
F700028,AC9618,Airbus A320,BCN,Barcelona,41.2974,2.0833,MAD,Madrid,40.4983,-3.5676,20/12/2023,180,129,159.85,20620.65,73,Tecnica,Completado,False
F700029,AC8007,Airbus A320,MAD,Madrid,40.4983,-3.5676,SVQ,Sevilla,37.4180,-5.8931,3-26-25,180,123,154.49,19002.27,1,Sin retraso,Completado,False
F700030,AC4161,Airbus A321,LIS,Lisboa,38.7813,-9.1359,BER,Berlin,52.3667,13.5033,3-11-23,220,187,100.30,18756.10,8,Sin retraso,Completado,False
F700031,AC7698,Airbus A321,LIS,lisboa,38.7813,-9.1359,MAD,Madrid,40.4983,-3.5676,2025-09-25,220,165,131.52,21700.80,1,Sin retraso,Completado,False
F700032,AC4199,Airbus A320,MAD,Madrid,40.4983,-3.5676,OPO,Oporto,41.2481,-8.6814,2025-05-15,180,173,50.93,8810.89,49,Tecnica,Completado,False
F700033,AC3438,Airbus A321,LIS,Lisboa,38.7813,-9.1359,OPO,Oporto,41.2481,-8.6814,2025-09-23,220,132,116.87,15426.84,3,Sin retraso,Completado,False
F700034,AC4536,Airbus A321,BCN,Barcelona,41.2974,2.0833,MUC,Munich,48.3538,11.7861,20/07/2025,220,211,47.25,9969.75,4,Sin retraso,Completado,False
F700035,AC2401,Airbus A321,MAD,Madrid,40.4983,-3.5676,AGP,malaga,36.6749,-4.4991,8-16-24,220,170,162.31,27592.70,11,Sin retraso,Completado,True
F700036,AC9095,Airbus A321,BCN,BARCELONA,41.2974,2.0833,NCE,Niza,43.6584,7.2159,28/08/2023,220,155,111.86,17338.30,25,Operativa,Completado,False
F700037,AC9169,Airbus A320,LIS,Lisboa,38.7813,-9.1359,BER,Berlin,52.3667,13.5033,2025-08-16,180,143,72.14,10316.02,5,Sin retraso,Desviado,False
F700038,AC2499,Airbus A321,MAD,Madrid,40.4983,-3.5676,MXP,Milan,45.6306,8.7281,28/07/2024,220,186,171.52,31902.72,1,Sin retraso,Completado,False
F700039,AC6750,Airbus A321,BCN,Barcelona,41.2974,2.0833,AGP,Malaga,36.6749,-4.4991,02/10/2023,220,189,90.89,17178.21,3,Sin retraso,Completado,False
F700040,AC7161,Airbus A320,LIS,Lisboa,38.7813,-9.1359,FCO,Roma,41.8003,12.2389,03/08/2023,180,133,96.24,12799.92,28,Tecnica,Completado,False
F700041,AC6611,Airbus A320,MAD,Madrid,40.4983,-3.5676,SVQ,Sevilla,37.4180,-5.8931,2023-01-27,180,124,92.30,11445.20,25,Trafico Aereo,Completado,False
F700042,AC6219,Airbus A321,LIS,Lisboa,38.7813,-9.1359,AGP,Malaga,36.6749,-4.4991,2023-07-10,220,163,61.06,9952.78,24,Operativa,Completado,False
F700043,AC5041,Airbus A321,MAD,Madrid,40.4983,-3.5676,LGW,Londres,51.1537,-0.1821,2023-12-28,220,167,99.23,16571.41,22,Operativa,Completado,False
F700044,AC1669,,BCN,Barcelona,41.2974,2.0833,NCE,Niza,43.6584,7.2159,2025-03-09,180,134,74.25,9949.50,19,Meteorologia,Completado,False
F700045,AC6316,Airbus A321,BCN,Barcelona,41.2974,2.0833,LIS,Lisboa,38.7813,-9.1359,2024-10-29,220,208,41.42,8615.36,54,trafico aereo,Completado,False
F700046,AC1300,Airbus A320,LIS,Lisboa,38.7813,-9.1359,BER,Berlin,52.3667,13.5033,06/03/2024,180,136,129.08,17554.88,116,Trafico Aereo,Completado,False
F700047,AC4579,Airbus A321,LIS,Lisboa,38.7813,-9.1359,OPO,Oporto,41.2481,-8.6814,2025-07-04,220,210,97.89,20556.90,51,Operativa,Completado,False
F700048,AC7710,Airbus A320,BCN,Barcelona,41.2974,2.0833,FCO,Roma,41.8003,12.2389,2025-07-16,180,158,79.18,12510.44,13,Sin retraso,Completado,False
F700049,AC6741,Airbus A321,BCN,Barcelona,41.2974,2.0833,PMI,Palma,39.5517,2.7388,2024-05-04,220,153,69.23,10592.19,29,Tecnica,Completado,False
F700050,AC9892,Airbus A320,LIS,Lisboa,38.7813,-9.1359,BCN,Barcelona,41.2974,2.0833,2025-02-16,180,167,72.80,12157.60,3,Sin retraso,Completado,False
F700051,AC2554,Airbus A321,MAD,Madrid,40.4983,-3.5676,ORY,Paris,48.7233,2.3794,2024-07-22,220,178,146.12,26009.36,5,Sin retraso,Cancelado,True
F700052,AC4279,Airbus A320,BCN,Barcelona,41.2974,2.0833,MAD,Madrid,40.4983,-3.5676,2025-05-07,180,135,116.50,15727.50,1,Sin retraso,Completado,False
F700053,AC2411,Airbus A321,BCN,Barcelona,41.2974,2.0833,MXP,Milan,45.6306,8.7281,24/06/2023,220,205,118.67,24327.35,1,Sin retraso,Completado,False
F700054,AC4966,Airbus A321,BCN,Barcelona,41.2974,2.0833,MUC,Munich,48.3538,11.7861,2-19-23,220,122,41.99,5122.78,8,Sin retraso,Completado,False
F700055,AC1793,Airbus A320,MAD,Madrid,40.4983,-3.5676,BCN,Barcelona,41.2974,2.0833,2024-06-10,180,118,175.56,20716.08,23,Trafico Aereo,Completado,False
F700056,AC5865,Airbus A321,LIS,Lisboa,38.7813,-9.1359,NCE,niza,43.6584,7.2159,2025-09-15,220,212,110.92,23515.04,5,Sin retraso,Completado,False
F700057,AC6354,Airbus A320,LIS,Lisboa,38.7813,-9.1359,LGW,LONDRES,51.1537,-0.1821,5-5-23,180,145,114.38,16585.10,7,Sin retraso,Completado,False
F700058,AC1180,Airbus A321,LIS,Lisboa,38.7813,-9.1359,MAD,Madrid,40.4983,-3.5676,2023-03-29,220,166,160.99,26724.34,26,Tecnica,Completado,False
F700059,AC7550,,LIS,Lisboa,38.7813,-9.1359,BER,Berlin,52.3667,13.5033,2023-07-28,220,203,166.59,33817.77,0,Sin retraso,Cancelado,True
F700060,AC5027,Airbus A321,BCN,Barcelona,41.2974,2.0833,OPO,Oporto,41.2481,-8.6814,2025-04-06,220,194,73.22,14204.68,62,Operativa,Completado,False
F700061,AC3691,,BCN,Barcelona,41.2974,2.0833,PMI,Palma,39.5517,2.7388,2025-01-05,220,208,45.10,9380.80,12,Sin retraso,Desviado,False
F700062,AC2131,Airbus A321,MAD,Madrid,40.4983,-3.5676,MXP,Milan,45.6306,8.7281,2023-05-17,220,123,138.52,17037.96,2,Sin retraso,Completado,False
F700063,AC7816,Airbus A321,LIS,LISBOA,38.7813,-9.1359,NAP,Napoles,40.8860,14.2908,2023-09-14,220,158,128.95,20374.10,24,Trafico Aereo,Completado,False
F700064,AC2266,Airbus A321,BCN,Barcelona,41.2974,2.0833,PMI,Palma,39.5517,2.7388,2023-05-13,220,185,137.35,25409.75,7,Sin retraso,Completado,False
F700065,AC4905,Airbus A321,MAD,Madrid,40.4983,-3.5676,MUC,Munich,48.3538,11.7861,2024-05-30,220,166,151.84,25205.44,4,Sin retraso,Completado,False
F700066,AC6509,Airbus A321,MAD,Madrid,40.4983,-3.5676,OPO,Oporto,41.2481,-8.6814,2023-06-27,220,196,35.17,6893.32,72,Meteorologia,Completado,True
F700067,AC2470,Airbus A321,BCN,Barcelona,41.2974,2.0833,FCO,Roma,41.8003,12.2389,2025-04-10,220,180,80.02,14403.60,2,Sin retraso,Completado,False
F700068,AC9257,Airbus A321,MAD,Madrid,40.4983,-3.5676,BCN,Barcelona,41.2974,2.0833,2024-05-06,220,163,143.56,23400.28,8,Sin retraso,Cancelado,True
F700069,AC8860,Airbus A321,BCN,Barcelona,41.2974,2.0833,BER,Berlin,52.3667,13.5033,12-17-23,220,142,101.72,14444.24,23,Weather,Cancelado,True
F700070,AC5535,Airbus A321,BCN,barcelona,41.2974,2.0833,SVQ,Sevilla,37.4180,-5.8931,2024-08-24,220,132,135.59,17897.88,19,Operativa,Completado,False
F700071,AC3515,Airbus A321,BCN,Barcelona,41.2974,2.0833,LGW,Londres,51.1537,-0.1821,2024-02-15,220,140,53.24,7453.60,0,Sin retraso,Completado,False
F700072,AC8179,Airbus A321,BCN,Barcelona,41.2974,2.0833,LGW,Londres,51.1537,-0.1821,2024-07-21,220,176,96.35,16957.60,7,Sin retraso,Completado,False
F700073,AC5663,Airbus A321,LIS,Lisboa,38.7813,-9.1359,PMI,palma,39.5517,2.7388,2024-10-30,220,162,156.47,25348.14,8,Sin retraso,Completado,False
F700074,AC7253,,MAD,Madrid,40.4983,-3.5676,BCN,Barcelona,41.2974,2.0833,2023-05-09,220,139,145.69,20250.91,4,Sin retraso,Completado,False
F700075,AC8480,Airbus A320,MAD,Madrid,40.4983,-3.5676,MUC,Munich,48.3538,11.7861,10/09/2024,180,165,60.86,10041.90,0,Sin retraso,Completado,False
F700076,AC2259,Airbus A320,LIS,Lisboa,38.7813,-9.1359,FCO,Roma,41.8003,12.2389,7-24-23,180,166,69.95,11611.70,2,Sin retraso,Completado,False
F700077,AC1922,Airbus A320,MAD,Madrid,40.4983,-3.5676,LGW,Londres,51.1537,-0.1821,2024-08-21,180,137,44.31,6070.47,6,Sin retraso,Completado,False
F700078,AC6742,Airbus A321,BCN,Barcelona,41.2974,2.0833,MXP,Milan,45.6306,8.7281,2023-07-26,220,146,160.57,23443.22,77,Meteorologia,Completado,False
F700079,AC1638,Airbus A321,BCN,Barcelona,41.2974,2.0833,MUC,Munich,48.3538,11.7861,26/09/2025,220,139,108.44,15073.16,3,Sin retraso,Completado,False
F700080,AC5884,Airbus A320,BCN,Barcelona,41.2974,2.0833,LYS,Lyon,45.7256,5.0811,2025-05-10,180,136,156.63,21301.68,22,Tecnica,Cancelado,True
F700081,AC7865,Airbus A321,MAD,Madrid,40.4983,-3.5676,FCO,Roma,41.8003,12.2389,06/10/2023,220,133,172.34,22921.22,2,Sin retraso,Completado,False
F700082,AC9786,Airbus A320,BCN,Barcelona,41.2974,2.0833,MUC,MUNICH,48.3538,11.7861,2023-08-03,180,144,78.89,11360.16,9,Sin retraso,Cancelado,True
F700083,AC5129,Airbus A320,MAD,Madrid,40.4983,-3.5676,NCE,Niza,43.6584,7.2159,2025-08-26,180,139,177.31,24646.09,57,Operativa,Completado,False
F700084,AC3154,Airbus A321,LIS,Lisboa,38.7813,-9.1359,LYS,Lyon,45.7256,5.0811,2023-11-14,220,179,110.03,19695.37,17,Meteorologia,Completado,False
F700085,AC4753,,LIS,Lisboa,38.7813,-9.1359,ORY,Paris,48.7233,2.3794,12/04/2024,220,132,83.57,11031.24,36,Operativa,Completado,False
F700086,AC1239,Airbus A320,BCN,Barcelona,41.2974,2.0833,MUC,Munich,48.3538,11.7861,2023-06-22,180,151,154.25,23291.75,45,Tecnica,Completado,False
F700087,AC6163,Airbus A320,BCN,Barcelona,41.2974,2.0833,AGP,Malaga,36.6749,-4.4991,01/09/2023,180,147,91.62,13468.14,2,Sin retraso,Completado,False
F700088,AC4471,Airbus A320,LIS,Lisboa,38.7813,-9.1359,FCO,Roma,41.8003,12.2389,2025-05-25,180,100,176.17,17617.00,17,Operativa,Completado,False
F700089,AC2495,Airbus A320,LIS,Lisboa,38.7813,-9.1359,SVQ,SEVILLA,37.4180,-5.8931,2023-10-11,180,120,102.37,12284.40,9,Sin retraso,Completado,False
F700090,AC4395,Airbus A320,MAD,MADRID,40.4983,-3.5676,BER,Berlin,52.3667,13.5033,1-12-24,180,130,66.84,8689.20,15,Meteorologia,Completado,False
F700091,AC4591,Airbus A321,LIS,Lisboa,38.7813,-9.1359,SVQ,Sevilla,37.4180,-5.8931,2024-01-10,220,165,52.59,8677.35,54,Trafico Aereo,Completado,False
F700092,AC2252,Airbus A321,MAD,Madrid,40.4983,-3.5676,BER,Berlin,52.3667,13.5033,2024-03-01,220,141,101.38,14294.58,26,Operativa,Completado,True
F700093,AC3540,Airbus A321,BCN,Barcelona,41.2974,2.0833,MUC,Munich,48.3538,11.7861,2025-06-14,220,203,72.68,14754.04,1,Sin retraso,Completado,False
F700094,AC9547,Airbus A321,LIS,Lisboa,38.7813,-9.1359,MUC,Munich,48.3538,11.7861,2024-08-06,220,212,166.21,35236.52,62,Meteorologia,Completado,False
F700095,AC7636,Airbus A321,MAD,madrid,40.4983,-3.5676,BCN,Barcelona,41.2974,2.0833,2023-08-11,220,126,104.14,13121.64,8,Sin retraso,Completado,False
F700096,AC4044,Airbus A320,LIS,Lisboa,38.7813,-9.1359,OPO,Oporto,41.2481,-8.6814,2025-06-16,180,118,132.07,15584.26,84,Trafico Aereo,Completado,False
F700097,AC3650,Airbus A320,MAD,Madrid,40.4983,-3.5676,BER,Berlin,52.3667,13.5033,2024-12-15,180,105,78.40,8232.00,9,Sin retraso,Completado,False
F700098,AC4491,Airbus A320,MAD,Madrid,40.4983,-3.5676,ORY,Paris,48.7233,2.3794,2024-04-26,180,172,144.10,24785.20,49,Technical,Completado,False
F700099,AC3684,Airbus A320,MAD,Madrid,40.4983,-3.5676,FCO,Roma,41.8003,12.2389,7-10-24,180,164,154.41,25323.24,0,Sin retraso,Cancelado,True
F700100,AC7985,Airbus A320,BCN,Barcelona,41.2974,2.0833,LIS,Lisboa,38.7813,-9.1359,2024-07-04,180,167,95.31,15916.77,3,Sin retraso,Completado,False
F700101,AC4934,Airbus A321,MAD,Madrid,40.4983,-3.5676,BER,BERLIN,52.3667,13.5033,12-5-23,220,201,114.34,22982.34,3,Sin retraso,Completado,False
F700102,AC4392,,LIS,Lisboa,38.7813,-9.1359,PMI,Palma,39.5517,2.7388,2025-01-04,180,113,97.55,11023.15,23,Operativa,Completado,False
F700103,AC9721,Airbus A321,BCN,Barcelona,41.2974,2.0833,BER,Berlin,52.3667,13.5033,20/06/2025,220,133,148.77,19786.41,5,Sin retraso,Completado,False
F700104,AC6008,,LIS,Lisboa,38.7813,-9.1359,MUC,Muenchen,48.3538,11.7861,23/07/2024,180,147,138.95,20425.65,3,Sin retraso,Cancelado,True
F700105,AC3582,Airbus A320,LIS,Lisboa,38.7813,-9.1359,BER,Berlin,52.3667,13.5033,2024-10-10,180,140,127.76,17886.40,35,Operativa,Completado,False
F700106,AC7822,Airbus A321,LIS,Lisboa,38.7813,-9.1359,LGW,londres,51.1537,-0.1821,14/01/2023,220,179,130.22,23309.38,0,Sin retraso,Desviado,False
F700107,AC8092,Airbus A321,MAD,Madrid,40.4983,-3.5676,SVQ,Sevilla,37.4180,-5.8931,2023-07-17,220,196,122.78,24064.88,8,Sin retraso,Completado,False
F700108,AC4306,Airbus A321,LIS,Lisboa,38.7813,-9.1359,LGW,Londres,51.1537,-0.1821,10/01/2024,220,197,99.50,19601.50,155,Operativa,Completado,True
F700109,AC2497,,BCN,Barcelona,41.2974,2.0833,OPO,Oporto,41.2481,-8.6814,2024-08-28,180,113,123.53,13958.89,22,Trafico Aereo,Completado,False
F700110,AC5238,Airbus A321,BCN,Barcelona,41.2974,2.0833,ORY,Paris,48.7233,2.3794,2023-04-02,220,186,64.15,11931.90,103,Trafico Aereo,Cancelado,True
F700111,AC9886,Airbus A320,LIS,Lisboa,38.7813,-9.1359,FCO,Roma,41.8003,12.2389,3-10-25,180,125,168.42,21052.50,2,Sin retraso,Completado,False
F700112,AC6644,Airbus A320,MAD,Madrid,40.4983,-3.5676,NCE,Niza,43.6584,7.2159,2023-09-12,180,161,136.91,22042.51,13,Sin retraso,Completado,False
F700113,AC4513,Airbus A320,BCN,Barcelona,41.2974,2.0833,AGP,Malaga,36.6749,-4.4991,8-9-23,180,159,47.07,7484.13,84,Tecnica,Completado,False
F700114,AC9305,Airbus A321,MAD,Madrid,40.4983,-3.5676,PMI,Palma,39.5517,2.7388,06/10/2024,220,132,175.93,23222.76,3,Sin retraso,Completado,False
F700115,AC2158,Airbus A321,BCN,Barcelona,41.2974,2.0833,ORY,Paris,48.7233,2.3794,2024-02-15,220,200,101.79,20358.00,12,Sin retraso,Completado,False
F700116,AC7984,Airbus A320,LIS,Lisboa,38.7813,-9.1359,FCO,Roma,41.8003,12.2389,2023-07-03,180,167,161.93,27042.31,2,Sin retraso,Completado,False
F700117,AC6670,Airbus A320,LIS,Lisboa,38.7813,-9.1359,AGP,Malaga,36.6749,-4.4991,2024-10-23,180,118,80.66,9517.88,6,Sin retraso,Completado,False
F700118,AC6248,Airbus A321,MAD,Madrid,40.4983,-3.5676,PMI,PALMA,39.5517,2.7388,11-11-23,220,167,136.18,22742.06,53,Trafico Aereo,Desviado,False
F700119,AC1158,Airbus A320,LIS,Lisbon,38.7813,-9.1359,NCE,Niza,43.6584,7.2159,6-12-23,180,165,94.18,15539.70,4,Sin retraso,Completado,False
F700120,AC8287,Airbus A320,BCN,Barcelona,41.2974,2.0833,NCE,Niza,43.6584,7.2159,6-25-24,180,123,38.91,4785.93,8,Sin retraso,Completado,False
F700121,AC8040,Airbus A321,BCN,Barcelona,41.2974,2.0833,MUC,Munich,48.3538,11.7861,2023-07-24,220,162,171.62,27802.44,10,Sin retraso,Completado,False
F700122,AC5623,Airbus A320,LIS,Lisboa,38.7813,-9.1359,MAD,Madrid,40.4983,-3.5676,2025-01-10,180,144,84.13,12114.72,13,Sin retraso,Completado,False
F700123,AC3187,Airbus A321,MAD,Madrid,40.4983,-3.5676,AGP,Malaga,36.6749,-4.4991,2023-06-08,220,197,142.50,28072.50,0,Sin retraso,Completado,False
F700124,AC9409,Airbus A320,BCN,BARCELONA,41.2974,2.0833,MUC,Muenchen,48.3538,11.7861,2023-12-08,180,103,136.22,14030.66,5,Sin retraso,Completado,False
F700125,AC4628,Airbus A320,LIS,Lisboa,38.7813,-9.1359,AGP,Malaga,36.6749,-4.4991,14/02/2024,180,110,130.84,14392.40,9,Sin retraso,Completado,False
F700126,AC1387,Airbus A320,LIS,Lisboa,38.7813,-9.1359,FCO,Roma,41.8003,12.2389,2024-08-03,180,121,127.86,15471.06,6,Sin retraso,Completado,False
F700127,AC6128,Airbus A321,MAD,Madrid,40.4983,-3.5676,ORY,Paris,48.7233,2.3794,01/02/2024,220,186,85.45,15893.70,28,Meteorologia,Completado,False
F700128,AC9390,Airbus A321,LIS,Lisboa,38.7813,-9.1359,LYS,Lyon,45.7256,5.0811,2024-06-04,220,184,54.57,10040.88,7,Sin retraso,Completado,False
F700129,AC7772,Airbus A321,BCN,Barcelona,41.2974,2.0833,LGW,LONDRES,51.1537,-0.1821,2024-08-18,220,158,52.91,8359.78,9,Sin retraso,Completado,False
F700130,AC9250,Airbus A320,BCN,Barcelona,41.2974,2.0833,MUC,Munich,48.3538,11.7861,2023-08-02,180,132,141.97,18740.04,9,Sin retraso,Completado,False
F700131,AC8446,,BCN,Barcelona,41.2974,2.0833,ORY,Paris,48.7233,2.3794,2024-11-26,180,103,63.41,6531.23,2,Sin retraso,Completado,False
F700132,AC8501,Airbus A321,LIS,Lisboa,38.7813,-9.1359,BCN,Barcelona,41.2974,2.0833,2024-03-25,220,179,129.45,23171.55,14,Sin retraso,Completado,False
F700133,AC9299,Airbus A321,MAD,Madrid,40.4983,-3.5676,OPO,Oporto,41.2481,-8.6814,11-30-23,220,143,74.30,10624.90,24,Trafico Aereo,Completado,False
F700134,AC8452,Airbus A321,LIS,Lisboa,38.7813,-9.1359,SVQ,Sevilla,37.4180,-5.8931,2023-03-01,220,147,77.92,11454.24,6,Sin retraso,Completado,False
F700135,AC8909,Airbus A321,MAD,Madrid,40.4983,-3.5676,MUC,Munich,48.3538,11.7861,2024-09-02,220,124,51.18,6346.32,0,Sin retraso,Completado,False
F700136,AC2993,Airbus A321,MAD,Madrid,40.4983,-3.5676,AGP,Malaga,36.6749,-4.4991,2025-09-04,220,150,85.45,12817.50,86,Operativa,Cancelado,True
F700137,AC3868,Airbus A321,BCN,Barcelona,41.2974,2.0833,LIS,Lisboa,38.7813,-9.1359,13/03/2024,220,155,101.95,15802.25,65,Tecnica,Completado,False
F700138,AC1363,Airbus A320,BCN,Barcelona,41.2974,2.0833,NAP,Napoles,40.8860,14.2908,2025-09-14,180,174,165.90,28866.60,41,Meteorologia,Completado,False
F700139,AC7902,Airbus A321,LIS,Lisboa,38.7813,-9.1359,SVQ,Sevilla,37.4180,-5.8931,2023-12-27,220,153,75.37,11531.61,195,Tecnica,Completado,False
F700140,AC9543,Airbus A321,MAD,MADRID,40.4983,-3.5676,NCE,Niza,43.6584,7.2159,2024-11-22,220,199,133.76,26618.24,19,Weather,Completado,False
F700141,AC6824,Airbus A321,MAD,Madrid,40.4983,-3.5676,NAP,Napoles,40.8860,14.2908,2023-07-05,220,178,138.83,24711.74,6,Sin retraso,Completado,False
F700142,AC9217,Airbus A320,MAD,Madrid,40.4983,-3.5676,LIS,Lisboa,38.7813,-9.1359,2025-05-25,180,143,113.37,16211.91,7,Sin retraso,Desviado,False
F700143,AC2147,Airbus A321,LIS,Lisboa,38.7813,-9.1359,PMI,Palma,39.5517,2.7388,2025-05-16,220,211,114.89,24241.79,6,Sin retraso,Completado,True
F700144,AC5010,Airbus A321,BCN,BARCELONA,41.2974,2.0833,BER,Berlin,52.3667,13.5033,2023-06-14,220,127,118.72,15077.44,24,Operativa,Completado,False
F700145,AC8773,Airbus A320,BCN,Barcelona,41.2974,2.0833,MUC,munich,48.3538,11.7861,20/06/2025,180,140,79.59,11142.60,7,Sin retraso,Completado,False
F700146,AC7855,Airbus A321,LIS,Lisboa,38.7813,-9.1359,BCN,Barcelona,41.2974,2.0833,12-20-23,220,127,144.33,18329.91,22,Tecnica,Completado,False
F700147,AC7350,Airbus A320,MAD,Madrid,40.4983,-3.5676,BER,Berlin,52.3667,13.5033,28/07/2025,180,132,128.75,16995.00,4,Sin retraso,Completado,False
F700148,AC1340,Airbus A321,LIS,Lisboa,38.7813,-9.1359,LGW,Londres,51.1537,-0.1821,2023-09-19,220,193,141.28,27267.04,5,Sin retraso,Completado,False
F700149,AC1460,Airbus A320,BCN,Barcelona,41.2974,2.0833,MXP,Milan,45.6306,8.7281,2024-05-15,180,145,160.81,23317.45,46,operativa,Completado,False
F700150,AC8334,Airbus A321,MAD,Madrid,40.4983,-3.5676,MUC,Munich,48.3538,11.7861,2024-07-02,220,132,130.09,17171.88,1,Sin retraso,Completado,False
F700151,AC5104,Airbus A321,LIS,Lisboa,38.7813,-9.1359,OPO,Oporto,41.2481,-8.6814,10/05/2023,220,167,78.28,13072.76,6,Sin retraso,Completado,False
F700152,AC9402,Airbus A321,LIS,Lisboa,38.7813,-9.1359,OPO,Oporto,41.2481,-8.6814,29/08/2024,220,202,166.24,33580.48,33,Trafico Aereo,Completado,False
